Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2022,2022,2022,2022,2022,2022
Januari,186,260,267,278,326,263
Februari,298,323,204,494,443,352
Maret,79,192,101,209,278,172
April,138,188,101,183,199,162
Mei,120,271,116,342,326,235
Juni,150,147,114,216,253,176
Juli,36,88,48,90,49,62
Agustus,11,30,20,38,196,59
September,169,178,135,298,111,178
Oktober,164,393,141,551,517,353
November,228,185,247,419,440,304
Desember,323,368,205,449,621,393
Total,1902,2623,1699,3567,3759,226
